"","state","positive","negative","pending","death","total","lastUpdateEt","checkTimeEt"
"1","AK",6,432,NA,NA,438,"3/17 23:00","3/18 01:04"
"2","AL",39,28,NA,0,67,"3/17 16:30","3/17 21:54"
"3","AR",22,197,41,NA,260,"3/17 00:00","3/17 21:53"
"4","AS",0,NA,NA,NA,0,"3/14 00:00","3/17 22:43"
"5","AZ",20,142,66,0,228,"3/17 00:00","3/17 21:33"
"6","CA",483,7981,NA,11,8464,"3/16 21:00","3/17 21:57"
"7","CO",160,1056,NA,1,1216,"3/16 17:00","3/17 21:58"
"8","CT",68,125,NA,NA,193,"3/17 16:30","3/17 21:59"
"9","DC",31,138,1,NA,170,"3/17 19:00","3/17 21:37"
"10","DE",16,36,NA,NA,52,"3/17 12:55","3/18 01:36"
"11","FL",210,1017,1061,6,2288,"3/17 18:00","3/17 21:42"
"12","GA",146,NA,NA,1,146,"3/17 12:00","3/17 22:02"
"13","GU",5,41,NA,NA,46,"3/17 04:15","3/17 22:43"
"14","HI",13,NA,NA,NA,13,"3/17 18:00","3/17 21:43"
"15","IA",29,83,NA,NA,112,"3/17 00:00","3/17 21:46"
"16","ID",9,344,NA,NA,353,"3/17 20:25","3/18 01:14"
"17","IL",161,1339,NA,1,1500,"3/17 00:00","3/18 01:46"
"18","IN",30,129,NA,2,159,"3/16 23:59","3/17 21:52"
"19","KS",16,417,NA,1,433,"3/17 15:30","3/18 01:20"
"20","KY",26,354,NA,1,380,"3/17 16:00","3/17 22:03"
"21","LA",196,335,NA,4,531,"3/17 18:30","3/17 22:04"
"22","MA",218,1541,NA,NA,1759,"3/16 16:00","3/17 22:06"
"23","MD",57,94,NA,NA,151,"3/17 10:00","3/17 22:06"
"24","ME",32,1303,NA,NA,1335,"3/17 12:00","3/17 22:08"
"25","MI",65,272,NA,NA,337,"3/17 14:00","3/17 22:09"
"26","MN",60,2276,NA,NA,2336,"3/17 00:00","3/17 22:09"
"27","MO",13,253,NA,0,266,"3/16 20:00","3/17 22:09"
"28","MP",0,NA,NA,NA,0,"3/17 01:30","3/17 22:43"
"29","MS",21,368,NA,NA,389,"3/17 00:00","3/17 22:11"
"30","MT",8,303,0,NA,311,"3/16 21:22","3/17 22:11"
"31","NC",40,474,NA,0,514,"3/17 08:51","3/17 22:11"
"32","ND",5,248,NA,0,253,"3/17 00:00","3/17 22:16"
"33","NE",21,206,NA,NA,227,"3/17 00:00","3/17 22:17"
"34","NH",26,513,208,NA,747,"3/17 09:00","3/17 22:20"
"35","NJ",267,163,55,3,485,"3/17 13:00","3/17 22:20"
"36","NM",23,1697,NA,NA,1720,"3/17 00:00","3/17 22:21"
"37","NV",55,168,NA,1,223,"3/17 15:00","3/17 21:41"
"38","NY",1700,5506,NA,12,7206,"3/17 20:15","3/17 22:24"
"39","OH",67,140,NA,NA,207,"3/17 15:00","3/17 22:25"
"40","OK",17,247,82,NA,346,"3/17 09:15","3/17 22:26"
"41","OR",65,968,215,1,1248,"3/17 12:00","3/17 22:28"
"42","PA",96,879,NA,NA,975,"3/17 17:00","3/17 22:28"
"43","PR",5,13,19,NA,37,"3/17 00:00","3/18 01:54"
"44","RI",21,308,149,NA,478,"3/16 00:00","3/17 22:29"
"45","SC",47,409,NA,1,456,"3/17 16:35","3/17 22:29"
"46","SD",11,551,35,NA,597,"3/17 00:00","3/17 22:33"
"47","TN",73,330,NA,NA,403,"3/17 15:00","3/17 22:34"
"48","TX",64,1204,NA,1,1268,"3/17 13:00","3/17 22:35"
"49","UT",51,131,NA,0,182,"3/17 14:45","3/17 22:35"
"50","VA",67,961,NA,1,1028,"3/17 12:00","3/17 22:37"
"51","VI",2,NA,NA,NA,2,"3/17 17:30","3/17 22:42"
"52","VT",10,495,NA,NA,505,"3/17 13:00","3/17 22:38"
"53","WA",1012,13117,NA,52,14129,"3/17 18:15","3/17 22:38"
"54","WI",72,1038,NA,NA,1110,"3/17 15:00","3/17 22:38"
"55","WV",1,122,14,0,137,"3/17 00:00","3/17 22:40"
"56","WY",15,105,NA,NA,120,"3/17 14:00","3/18 01:50"
